context,question,gold,category,predicted,exact_match,numeric_faithful,hybrid_f1
"In lowand middle-income economies excluding China, the shares are 17 percent and 34 percent.8 Among account owners, adults out of the labor force are 17 percentage points less likely than adults in the labor force to have saved formally: 28 percent of account-owning adults out of the labor force have done so, compared with 44 percent of account owners in the labor force. Within the group of adults in the workforce, account owners who are employed by an employer are most likely to have saved formally, at 47 percent. This suggests that, not surprisingly, even among account owners, those with a steady income are most likely to save formally.","According to the text, fill in the blank: Within the group of adults in the workforce, account owners who are employed by an employer are most likely to have saved formally, at ___.?",47 percent,Knowledge - Statistics,47 percent,1,1.0,1.0
"Within the group of adults in the workforce, account owners who are employed by an employer are most likely to have saved formally, at 47 percent. This suggests that, not surprisingly, even among account owners, those with a steady income are most likely to save formally. Finally, across lowand middle-income economies, rural residents are less likely to save than urban residents.","True or False: Based on the provided text, This suggests that, not surprisingly, even among account owners, those with a steady income are most likely to save formally.",True,Knowledge - Fact Verification,True,1,,1.0
"The share of rural residents who saved formally is 31 percent compared with 47 percent of urban residents. Among account owners, 43 percent of rural residents and 58 percent of urban residents saved. Mobile money accounts are becoming a popular way of saving formally in Sub-Saharan Africa and elsewhere As ownership of mobile money accounts has expanded in recent years, so has the use of these accounts to save.","According to the text, fill in the blank: Among account owners, ___ of rural residents and 58 percent of urban residents saved.?",43 percent,Knowledge - Statistics,43,1,1.0,1.0
"Among account owners, 43 percent of rural residents and 58 percent of urban residents saved. Mobile money accounts are becoming a popular way of saving formally in Sub-Saharan Africa and elsewhere As ownership of mobile money accounts has expanded in recent years, so has the use of these accounts to save. In lowand middle-income economies, 9 percent of adults saved formally using a mobile money account in 2024 (refer to figure 3.1.4).","True or False: Based on the provided text, Mobile money accounts are becoming a popular way of saving formally in Sub-Saharan Africa and elsewhere As ownership of mobile money accounts has expanded in recent years, so has the use of these accounts to save.",True,Knowledge - Fact Verification,True,1,,1.0
"Mobile money accounts are becoming a popular way of saving formally in Sub-Saharan Africa and elsewhere As ownership of mobile money accounts has expanded in recent years, so has the use of these accounts to save. In lowand middle-income economies, 9 percent of adults saved formally using a mobile money account in 2024 (refer to figure 3.1.4). This includes 4 percent of adults who saved using only a mobile money account and 5 percent who saved using both a mobile money account and an account at a bank or similar financial institution.","According to the text, fill in the blank: In lowand middle-income economies, ___ of adults saved formally using a mobile money account in 2024 (refer to figure 3.1.4).?",9 percent,Knowledge - Statistics,9 percent,1,1.0,1.0
"In lowand middle-income economies, 9 percent of adults saved formally using a mobile money account in 2024 (refer to figure 3.1.4). This includes 4 percent of adults who saved using only a mobile money account and 5 percent who saved using both a mobile money account and an account at a bank or similar financial institution. (Thirty percent of adults saved formally using only an account at a bank or similar financial institution.) The share of adults saving formally 8 Data on employment status for adults in China are not available.","According to the text, fill in the blank: This includes ___ of adults who saved using only a mobile money account and 5 percent who saved using both a mobile money account and an account at a bank or similar financial institution.?",4 percent,Knowledge - Statistics,4 percent,1,1.0,1.0
"This includes 4 percent of adults who saved using only a mobile money account and 5 percent who saved using both a mobile money account and an account at a bank or similar financial institution. (Thirty percent of adults saved formally using only an account at a bank or similar financial institution.) The share of adults saving formally 8 Data on employment status for adults in China are not available. 140 The Global Findex Database 2025 using a mobile money account is up from the 4 percent of adults who did so in 2021, when the Global Findex survey first asked about saving in these accounts.9 Saving using a mobile money account can be more convenient than saving using an account at a bank or similar financial institution.","True or False: Based on the provided text, (Thirty percent of adults saved formally using only an account at a bank or similar financial institution.) The share of adults saving formally 8 Data on employment status for adults in China are not available.",True,Knowledge - Fact Verification,False,0,,0.0
"(Thirty percent of adults saved formally using only an account at a bank or similar financial institution.) The share of adults saving formally 8 Data on employment status for adults in China are not available. 140 The Global Findex Database 2025 using a mobile money account is up from the 4 percent of adults who did so in 2021, when the Global Findex survey first asked about saving in these accounts.9 Saving using a mobile money account can be more convenient than saving using an account at a bank or similar financial institution. Because mobile money service providers typically have larger retail networks than do banks and similar financial institutions,10 savers who have mobile money accounts can often make cash deposits locally, more frequently, and in smaller denominations without incurring significant time and transaction costs.11 9 Because of COVID-19 restrictions, data collection in 11 Sub-Saharan African economies took place in 2022, after the publication of the Global Findex 2021 report.","According to the text, fill in the blank: 140 The Global Findex Database 2025 using a mobile money account is up from the ___ of adults who did so in 2021, when the Global Findex survey first asked about saving in these accounts.9 Saving using a mobile money account can be more convenient than saving using an account at a bank or similar financial institution.?",4 percent,Knowledge - Statistics,4 percent,1,1.0,1.0
"The Global Findex team uses the revised averages in its comparisons. Thus in the case of saving using a mobile money account, the global share of 5 percent reported in Global Findex 2021 has been revised downward to the 4 percent shown in the chapter here. 10 Economides and Jeziorski (2015).","According to the text, fill in the blank: Thus in the case of saving using a mobile money account, the global share of ___ reported in Global Findex 2021 has been revised downward to the 4 percent shown in the chapter here.?",5 percent,Knowledge - Statistics,5 percent,1,1.0,1.0
"10 Economides and Jeziorski (2015). Figure 3.1.4 More adults used mobile money to save in lowand middle-income economies Adults saving any money in the past year (%), 2021–24 Saved formally at a bank or similar financial institution only Saved formally at a bank or similar financial institution and using a mobile money account Saved formally using a mobile money account only Saved semiformally or using other methods only 2021 0 20 40 2024 10 30 50 60 Source: Global Findex Database 2025. Note: People save in multiple ways, but categories in the figure are constructed to be mutually exclusive.","True or False: Based on the provided text, Figure 3.1.4 More adults used mobile money to save in lowand middle-income economies Adults saving any money in the past year (%), 2021–24 Saved formally at a bank or similar financial institution only Saved formally at a bank or similar financial institution and using a mobile money account Saved formally using a mobile money account only Saved semiformally or using other methods only 2021 0 20 40 2024 10 30 50 60 Source: Global Findex Database 2025.",True,Knowledge - Fact Verification,True,1,,1.0
"Sub-Saharan Africa still has the largest share of adults who did so: 23 percent of adults in 2024, twice the share in 2021 (refer to figure 3.1.5). In Latin America and the Caribbean, 19 percent of adults saved formally using a mobile money account, four times the share of adults in these economies who saved this way in 2021. More than 20 percent of adults saved using a mobile money account in Malaysia, the Philippines, and Thailand as well.","According to the text, fill in the blank: In Latin America and the Caribbean, ___ of adults saved formally using a mobile money account, four times the share of adults in these economies who saved this way in 2021.?",19 percent,Knowledge - Statistics,19 percent,1,1.0,1.0
"In Latin America and the Caribbean, 19 percent of adults saved formally using a mobile money account, four times the share of adults in these economies who saved this way in 2021. More than 20 percent of adults saved using a mobile money account in Malaysia, the Philippines, and Thailand as well. At 15 percent, Sub-Saharan Africa also has the highest share of adults who saved using only a mobile money account.","According to the text, fill in the blank: More than ___ of adults saved using a mobile money account in Malaysia, the Philippines, and Thailand as well.?",20 percent,Knowledge - Statistics,20,1,1.0,1.0
"More than 20 percent of adults saved using a mobile money account in Malaysia, the Philippines, and Thailand as well. At 15 percent, Sub-Saharan Africa also has the highest share of adults who saved using only a mobile money account. In all other regions, that share is less than 6 percent.","According to the text, fill in the blank: At ___, Sub-Saharan Africa also has the highest share of adults who saved using only a mobile money account.?",15 percent,Knowledge - Statistics,15%,1,1.0,1.0
"In all other regions, that share is less than 6 percent. Figure 3.1.5 Mobile money accounts are an important mode of saving in Latin America and the Caribbean and Sub-Saharan Africa Adults saving any money in the past year (%), 2021–24 Saved formally using an account at a bank or similar financial institution only Saved formally using an account at a bank or similar financial institution and a mobile money account Saved formally using a mobile money account only Saved semiformally or using other methods only East Asia and Pacific Europe and Central Asia Latin America and the Caribbean Middle East and North Africa South Asia Sub-Saharan Africa 2021 2024 2021 2024 2021 2024 2021 2024 2021 2024 2021 2024 0 20 10 30 40 50 60 70 80 Source: Global Findex Database 2025. Note: People save in multiple ways, but categories in the figure are constructed to be mutually exclusive.","True or False: Based on the provided text, Figure 3.1.5 Mobile money accounts are an important mode of saving in Latin America and the Caribbean and Sub-Saharan Africa Adults saving any money in the past year (%), 2021–24 Saved formally using an account at a bank or similar financial institution only Saved formally using an account at a bank or similar financial institution and a mobile money account Saved formally using a mobile money account only Saved semiformally or using other methods only East Asia and Pacific Europe and Central Asia Latin America and the Caribbean Middle East and North Africa South Asia Sub-Saharan Africa 2021 2024 2021 2024 2021 2024 2021 2024 2021 2024 2021 2024 0 20 10 30 40 50 60 70 80 Source: Global Findex Database 2025.",True,Knowledge - Fact Verification,True,1,,1.0
"144 The Global Findex Database 2025 The share of adults saving formally and receiving interest or additional money for their savings varies across regions Global Findex 2025 asked adults who saved formally whether they received interest or additional money for the savings in their accounts in the past 12 months. In lowand middle-income economies, 23 percent of adults saved formally and received interest on or additional money for their savings—or just over half of formal savers. However, China drove much of that average: its share of adults saving formally and receiving interest or additional money was more than 50 percent.","According to the text, fill in the blank: In lowand middle-income economies, ___ of adults saved formally and received interest on or additional money for their savings—or just over half of formal savers.?",23 percent,Knowledge - Statistics,23 percent,1,1.0,1.0
"In lowand middle-income economies, 23 percent of adults saved formally and received interest on or additional money for their savings—or just over half of formal savers. However, China drove much of that average: its share of adults saving formally and receiving interest or additional money was more than 50 percent. In East Asia and Pacific excluding China and in all other regions, 15 percent or less of adults saved formally and received interest or additional money for their savings.","According to the text, fill in the blank: However, China drove much of that average: its share of adults saving formally and receiving interest or additional money was more than ___.?",50 percent,Knowledge - Statistics,50,1,1.0,1.0
"However, China drove much of that average: its share of adults saving formally and receiving interest or additional money was more than 50 percent. In East Asia and Pacific excluding China and in all other regions, 15 percent or less of adults saved formally and received interest or additional money for their savings. By region, this represents about a quarter of savers in Sub-Saharan Africa; about a third of savers in Europe and Central Asia, Middle East and North Africa, and South Asia; and about 4 in 10 savers in East Asia and Pacific, excluding China, and in Latin America and the Caribbean (refer to figure 3.1.7).","According to the text, fill in the blank: In East Asia and Pacific excluding China and in all other regions, ___ or less of adults saved formally and received interest or additional money for their savings.?",15 percent,Knowledge - Statistics,15 percent,1,1.0,1.0
"By region, this represents about a quarter of savers in Sub-Saharan Africa; about a third of savers in Europe and Central Asia, Middle East and North Africa, and South Asia; and about 4 in 10 savers in East Asia and Pacific, excluding China, and in Latin America and the Caribbean (refer to figure 3.1.7). Women formal savers are consistently as likely as men to receive interest, except in Latin America and the Caribbean. Figure 3.1.7 In most regions, about 10 percent of adults saved formally and received interest on their savings Adults saving at a bank or similar financial institution or using a mobile money account in the past year (%), 2024 0 East Asia and Pacific Europe and Central Asia Latin America and the Caribbean Middle East and North Africa South Asia Sub-Saharan Africa 20 40 60 10 Saved formally and did not receive interest Saved formally and received interest 30 50 Source: Global Findex Database 2025.","True or False: Based on the provided text, Women formal savers are consistently as likely as men to receive interest, except in Latin America and the Caribbean.",True,Knowledge - Fact Verification,True,1,,1.0
"Women formal savers are consistently as likely as men to receive interest, except in Latin America and the Caribbean. Figure 3.1.7 In most regions, about 10 percent of adults saved formally and received interest on their savings Adults saving at a bank or similar financial institution or using a mobile money account in the past year (%), 2024 0 East Asia and Pacific Europe and Central Asia Latin America and the Caribbean Middle East and North Africa South Asia Sub-Saharan Africa 20 40 60 10 Saved formally and did not receive interest Saved formally and received interest 30 50 Source: Global Findex Database 2025. Saving 145 Most adults who saved formally did so monthly Global Findex 2025 also asked adults who saved formally how often in a typical month they saved or set aside money in an account: weekly, monthly, or less than monthly.12 On average, nearly half of adults who saved formally (47 percent) in lowand middle-income economies did so monthly.","According to the text, fill in the blank: Figure 3.1.7 In most regions, about ___ of adults saved formally and received interest on their savings Adults saving at a bank or similar financial institution or using a mobile money account in the past year (%), 2024 0 East Asia and Pacific Europe and Central Asia Latin America and the Caribbean Middle East and North Africa South Asia Sub-Saharan Africa 20 40 60 10 Saved formally and did not receive interest Saved formally and received interest 30 50 Source: Global Findex Database 2025.?",10 percent,Knowledge - Statistics,10,1,1.0,1.0
"Figure 3.1.7 In most regions, about 10 percent of adults saved formally and received interest on their savings Adults saving at a bank or similar financial institution or using a mobile money account in the past year (%), 2024 0 East Asia and Pacific Europe and Central Asia Latin America and the Caribbean Middle East and North Africa South Asia Sub-Saharan Africa 20 40 60 10 Saved formally and did not receive interest Saved formally and received interest 30 50 Source: Global Findex Database 2025. Saving 145 Most adults who saved formally did so monthly Global Findex 2025 also asked adults who saved formally how often in a typical month they saved or set aside money in an account: weekly, monthly, or less than monthly.12 On average, nearly half of adults who saved formally (47 percent) in lowand middle-income economies did so monthly. Another 37 percent saved less than monthly, and just 13 percent saved weekly.","According to the text, fill in the blank: Saving 145 Most adults who saved formally did so monthly Global Findex 2025 also asked adults who saved formally how often in a typical month they saved or set aside money in an account: weekly, monthly, or less than monthly.12 On average, nearly half of adults who saved formally (___) in lowand middle-income economies did so monthly.?",47 percent,Knowledge - Statistics,47 percent,1,1.0,1.0
"This pattern holds broadly across regions. In Sub-Saharan Africa, a relatively larger share (19 percent) of adults saving formally did so every week. This seems to be driven in part by the prevalence of mobile money accounts in the region.","According to the text, fill in the blank: In Sub-Saharan Africa, a relatively larger share (___) of adults saving formally did so every week.?",19 percent,Knowledge - Statistics,19 percent,1,1.0,1.0
"In Sub-Saharan Africa, a relatively larger share (19 percent) of adults saving formally did so every week. This seems to be driven in part by the prevalence of mobile money accounts in the region. About a quarter of adults in the region who saved formally using a mobile money account did so weekly.","True or False: Based on the provided text, This seems to be driven in part by the prevalence of mobile money accounts in the region.",True,Knowledge - Fact Verification,True,1,,1.0
This seems to be driven in part by the prevalence of mobile money accounts in the region. About a quarter of adults in the region who saved formally using a mobile money account did so weekly. That is about double the share of those who saved weekly using only an account at a bank or similar financial institution.,"True or False: Based on the provided text, About a quarter of adults in the region who saved formally using a mobile money account did so weekly.",True,Knowledge - Fact Verification,True,1,,1.0
"Source: Global Findex Database 2025. 146 The Global Findex Database 2025 Saving for old age Global Findex 2025 asked adults who saved formally whether they specifically saved for their old age.13 Nearly half of formal savers had done so, resulting in 18 percent of all adults in lowand middle-income economies having both saved formally and saved for their old age. However, the large share of adults who saved formally and for their old age in China drove much of that number.","According to the text, fill in the blank: 146 The Global Findex Database 2025 Saving for old age Global Findex 2025 asked adults who saved formally whether they specifically saved for their old age.13 Nearly half of formal savers had done so, resulting in ___ of all adults in lowand middle-income economies having both saved formally and saved for their old age.?",18 percent,Knowledge - Statistics,18%,1,1.0,1.0
"No more than 10 percent of adults did so in all other regions. Chapter 4.1, “Managing financial worrying,” explores saving for old age in more detail. Opportunities for increasing account use by moving semiformal savings to accounts The share of adults saving formally has increased in lowand middle-income economies in recent years, but opportunities remain to further increase the use of accounts to save.","True or False: Based on the provided text, Chapter 4.1, “Managing financial worrying,” explores saving for old age in more detail.",True,Knowledge - Fact Verification,True,1,,1.0
"Encouraging formal savings for those who have saved only semiformally but also have an account is an especially low-barrier opportunity. Among the 6 percent of adults who saved only semiformally in lowand middle-income economies, more than 60 percent—or 190 million adults—already have accounts. In Sub-Saharan Africa, where 15 percent of adults saved only semiformally, more than 40 percent— or 47 million adults, including 28 million women—already have an account.","According to the text, fill in the blank: Among the ___ of adults who saved only semiformally in lowand middle-income economies, more than 60 percent—or 190 million adults—already have accounts.?",6 percent,Knowledge - Statistics,lowand middle-income economies,0,0.0,0.0
"Among the 6 percent of adults who saved only semiformally in lowand middle-income economies, more than 60 percent—or 190 million adults—already have accounts. In Sub-Saharan Africa, where 15 percent of adults saved only semiformally, more than 40 percent— or 47 million adults, including 28 million women—already have an account. 13 In 2021 the Global Findex survey asked all adults, not just those who had saved formally, whether they had saved money for their old age.","According to the text, fill in the blank: In Sub-Saharan Africa, where ___ of adults saved only semiformally, more than 40 percent— or 47 million adults, including 28 million women—already have an account.?",15 percent,Knowledge - Statistics,15 percent,1,1.0,1.0
(2024); Mukherjee et al. Saving 147 Amassing the resources to enable investments Saving is broadly viewed as bringing unmitigated financial health benefits for individuals and households. Borrowing is another approach people take to access a large enough lump sum of money to address needs or make investments.,"True or False: Based on the provided text, Saving 147 Amassing the resources to enable investments Saving is broadly viewed as bringing unmitigated financial health benefits for individuals and households.",True,Knowledge - Fact Verification,True,1,,1.0
"Note: Map displays only data for lowand middle-income economies. Box 3.2.1 What it means to borrow formally and where the Global Findex survey asked about it (continued) Borrowing 153 Another 5 percent of adults borrowed semiformally, from a savings club, such as a rotation savings and credit association, including 3 percent of adults who borrowed only semiformally, but not formally.1 Overall, 31 percent of adults borrowed from family or friends, with 21 percent of adults borrowing only this way and not also formally or semiformally. Other credit sources were tapped by 12 percent of adults (refer to figure 3.2.1); these sources could include buy-now-pay-later options, which have become more popular around the world in recent years.2 They could also include credit extended for buying groceries, which chapter 4.1 explores in the context of financial health.","According to the text, fill in the blank: Box 3.2.1 What it means to borrow formally and where the Global Findex survey asked about it (continued) Borrowing 153 Another ___ of adults borrowed semiformally, from a savings club, such as a rotation savings and credit association, including 3 percent of adults who borrowed only semiformally, but not formally.1 Overall, 31 percent of adults borrowed from family or friends, with 21 percent of adults borrowing only this way and not also formally or semiformally.?",5 percent,Knowledge - Statistics,5,1,1.0,1.0
"Across lowand middle-income countries, 22 percent of women borrowed formally, compared with 26 percent of men (refer to figure 3.2.3). This gender gap persisted among account owners: 29 percent of women with an account borrowed formally, compared with 33 percent of men. Figure 3.2.3 Women, poor adults, those out of the workforce, and rural residents were less likely to borrow formally than men, wealthier adults, the wage and self-employed, and urban residents Adults with an account (%), 2024 Have an account but did not borrow from a bank or similar financial institution or through the use of a credit card or a mobile money account Borrowed from a bank or similar financial institution or through the use of a credit card or a mobile money account Women Men Poorest 40% Wealthiest 60% Wage employed Selfemployed Out of workforce Urban–rural Employment status Income Gender 0 20 10 30 40 50 60 70 80 90 Rural Urban Source: Global Findex Database 2025.","According to the text, fill in the blank: This gender gap persisted among account owners: ___ of women with an account borrowed formally, compared with 33 percent of men.?",29 percent,Knowledge - Statistics,29 percent,1,1.0,1.0
"This gender gap persisted among account owners: 29 percent of women with an account borrowed formally, compared with 33 percent of men. Figure 3.2.3 Women, poor adults, those out of the workforce, and rural residents were less likely to borrow formally than men, wealthier adults, the wage and self-employed, and urban residents Adults with an account (%), 2024 Have an account but did not borrow from a bank or similar financial institution or through the use of a credit card or a mobile money account Borrowed from a bank or similar financial institution or through the use of a credit card or a mobile money account Women Men Poorest 40% Wealthiest 60% Wage employed Selfemployed Out of workforce Urban–rural Employment status Income Gender 0 20 10 30 40 50 60 70 80 90 Rural Urban Source: Global Findex Database 2025. 156 The Global Findex Database 2025 Across regions, gender gaps in formal borrowing among account owners ranged from statistically nonsignificant in East Asia and Pacific and the Middle East and North Africa to 8 percentage points in Latin America and the Caribbean.","According to the text, fill in the blank: Figure 3.2.3 Women, poor adults, those out of the workforce, and rural residents were less likely to borrow formally than men, wealthier adults, the wage and self-employed, and urban residents Adults with an account (%), 2024 Have an account but did not borrow from a bank or similar financial institution or through the use of a credit card or a mobile money account Borrowed from a bank or similar financial institution or through the use of a credit card or a mobile money account Women Men Poorest ___ Wealthiest 60% Wage employed Selfemployed Out of workforce Urban–rural Employment status Income Gender 0 20 10 30 40 50 60 70 80 90 Rural Urban Source: Global Findex Database 2025.?",40%,Knowledge - Statistics,40%,1,1.0,1.0
"Figure 3.2.3 Women, poor adults, those out of the workforce, and rural residents were less likely to borrow formally than men, wealthier adults, the wage and self-employed, and urban residents Adults with an account (%), 2024 Have an account but did not borrow from a bank or similar financial institution or through the use of a credit card or a mobile money account Borrowed from a bank or similar financial institution or through the use of a credit card or a mobile money account Women Men Poorest 40% Wealthiest 60% Wage employed Selfemployed Out of workforce Urban–rural Employment status Income Gender 0 20 10 30 40 50 60 70 80 90 Rural Urban Source: Global Findex Database 2025. 156 The Global Findex Database 2025 Across regions, gender gaps in formal borrowing among account owners ranged from statistically nonsignificant in East Asia and Pacific and the Middle East and North Africa to 8 percentage points in Latin America and the Caribbean. The gender gap was 11 percentage points in Europe and Central Asia, largely because of a gender gap of 21 percentage points in Türkiye.","According to the text, fill in the blank: 156 The Global Findex Database 2025 Across regions, gender gaps in formal borrowing among account owners ranged from statistically nonsignificant in East Asia and Pacific and the Middle East and North Africa to ___age points in Latin America and the Caribbean.?",8 percent,Knowledge - Statistics,11,0,0.0,0.0
"The data show similar differences for other groups. Adults from the poorest 40 percent of households by income were 10 percentage points less likely to borrow formally than adults from the wealthiest 60 percent, a difference that drops to 8 percentage points when only account owners in each group are considered. One in three wageemployed adults with an account borrowed formally, compared with one in four self-employed account owners and just over one in seven adults who were out of the workforce.","According to the text, fill in the blank: Adults from the poorest ___ of households by income were 10 percentage points less likely to borrow formally than adults from the wealthiest 60 percent, a difference that drops to 8 percentage points when only account owners in each group are considered.?",40 percent,Knowledge - Statistics,40,1,1.0,1.0
"Adults from the poorest 40 percent of households by income were 10 percentage points less likely to borrow formally than adults from the wealthiest 60 percent, a difference that drops to 8 percentage points when only account owners in each group are considered. One in three wageemployed adults with an account borrowed formally, compared with one in four self-employed account owners and just over one in seven adults who were out of the workforce. Rural residents were 10 percentage points less likely than urban residents to borrow formally, both as a share of adults and as a share of account owners.","True or False: Based on the provided text, One in three wageemployed adults with an account borrowed formally, compared with one in four self-employed account owners and just over one in seven adults who were out of the workforce.",True,Knowledge - Fact Verification,True,1,,1.0
"One in three wageemployed adults with an account borrowed formally, compared with one in four self-employed account owners and just over one in seven adults who were out of the workforce. Rural residents were 10 percentage points less likely than urban residents to borrow formally, both as a share of adults and as a share of account owners. The share of adults borrowing formally by using credit cards was generally small, though this type of borrowing dominated in a few lowand middle-income economies Credit cards are both a payment instrument and a credit source.","According to the text, fill in the blank: Rural residents were ___age points less likely than urban residents to borrow formally, both as a share of adults and as a share of account owners.?",10 percent,Knowledge - Statistics,10,1,1.0,1.0
"The share of adults borrowing formally by using credit cards was generally small, though this type of borrowing dominated in a few lowand middle-income economies Credit cards are both a payment instrument and a credit source. They provide short-term credit whenever they are used, even when credit card holders pay their balances in full each statement cycle and thus pay no interest on those balances. Credit cards’ entry into an economy may therefore affect the demand for and use of other forms of credit.","True or False: Based on the provided text, They provide short-term credit whenever they are used, even when credit card holders pay their balances in full each statement cycle and thus pay no interest on those balances.",True,Knowledge - Fact Verification,True,1,,1.0
"As in 2021, the exceptions were Argentina, Brazil, China, Türkiye, and Ukraine, where at least 25 percent of adults did. Credit cards dominated as a source of formal credit in these economies: the share of formal borrowers who used credit cards but did not also borrow from a financial institution or a mobile money account was about 70 percent in Türkiye, about 60 percent in Argentina and Brazil, and about 50 percent in China and Ukraine (refer to figure 3.2.4).4 To provide a better understanding of how adults use credit cards, the Global Findex 2024 survey asked whether adults who used a credit card paid off their balances 4 This compares with 51 percent of adults who used a credit card in the past 12 months in high-income economies according to the Global Findex 2021 survey. Among formal borrowers in high-income economies in 2021, twothirds borrowed using a credit card, but not from a bank or similar financial institution or through the use of a mobile money account.","According to the text, fill in the blank: Credit cards dominated as a source of formal credit in these economies: the share of formal borrowers who used credit cards but did not also borrow from a financial institution or a mobile money account was about ___ in Türkiye, about 60 percent in Argentina and Brazil, and about 50 percent in China and Ukraine (refer to figure 3.2.4).4 To provide a better understanding of how adults use credit cards, the Global Findex 2024 survey asked whether adults who used a credit card paid off their balances 4 This compares with 51 percent of adults who used a credit card in the past 12 months in high-income economies according to the Global Findex 2021 survey.?",70 percent,Knowledge - Statistics,70,1,1.0,1.0
"Credit cards dominated as a source of formal credit in these economies: the share of formal borrowers who used credit cards but did not also borrow from a financial institution or a mobile money account was about 70 percent in Türkiye, about 60 percent in Argentina and Brazil, and about 50 percent in China and Ukraine (refer to figure 3.2.4).4 To provide a better understanding of how adults use credit cards, the Global Findex 2024 survey asked whether adults who used a credit card paid off their balances 4 This compares with 51 percent of adults who used a credit card in the past 12 months in high-income economies according to the Global Findex 2021 survey. Among formal borrowers in high-income economies in 2021, twothirds borrowed using a credit card, but not from a bank or similar financial institution or through the use of a mobile money account. Borrowing 157 in full by the due date (note that some adults own a credit card but did not use it in the past 12 months).","True or False: Based on the provided text, Among formal borrowers in high-income economies in 2021, twothirds borrowed using a credit card, but not from a bank or similar financial institution or through the use of a mobile money account.",True,Knowledge - Fact Verification,True,1,,1.0
"If someone is borrowing through a mobile money account, the borrowing could involve money that comes directly from the mobile money provider or from a partnership between the provider and a bank or similar financial institution; it could also take the form of minutes or data. Loans of these types are generally small in value and of short duration (repayment is typically due within a month and often within one to two weeks) and carry high effective interest rates.5 Evidence suggests such loans can modestly increase consumption, financial health, and subjective well-being without reducing savings or assets, though their effects are not transformative.6 In 2024, only 4 percent of adults in lowand middle-income economies borrowed through their mobile money accounts. In Sub-Saharan Africa, where mobile money account ownership is most widespread, just 7 percent of adults borrowed from their mobile money providers.","According to the text, fill in the blank: Loans of these types are generally small in value and of short duration (repayment is typically due within a month and often within one to two weeks) and carry high effective interest rates.5 Evidence suggests such loans can modestly increase consumption, financial health, and subjective well-being without reducing savings or assets, though their effects are not transformative.6 In 2024, only ___ of adults in lowand middle-income economies borrowed through their mobile money accounts.?",4 percent,Knowledge - Statistics,4%,1,1.0,1.0
"Loans of these types are generally small in value and of short duration (repayment is typically due within a month and often within one to two weeks) and carry high effective interest rates.5 Evidence suggests such loans can modestly increase consumption, financial health, and subjective well-being without reducing savings or assets, though their effects are not transformative.6 In 2024, only 4 percent of adults in lowand middle-income economies borrowed through their mobile money accounts. In Sub-Saharan Africa, where mobile money account ownership is most widespread, just 7 percent of adults borrowed from their mobile money providers. This share is unchanged from the share in 2021, when the Global Findex survey first asked about borrowing from a mobile money provider.","According to the text, fill in the blank: In Sub-Saharan Africa, where mobile money account ownership is most widespread, just ___ of adults borrowed from their mobile money providers.?",7 percent,Knowledge - Statistics,7 percent,1,1.0,1.0
"Because overall levels of formal borrowing in Sub-Saharan Africa are low, borrowing from a mobile money provider constituted nearly 60 percent of all formal borrowing in the region in 2024. Economies with some of the highest rates of mobile money account ownership in Sub-Saharan Africa also have the highest rates of people borrowing from their mobile money providers. In Kenya, the region’s pioneer in mobile money, 32 percent of adults—or 86 percent of formal borrowers—borrowed from their mobile money providers, including 25 percent of adults who borrowed only in this way (refer to figure 3.2.6).","True or False: Based on the provided text, Economies with some of the highest rates of mobile money account ownership in Sub-Saharan Africa also have the highest rates of people borrowing from their mobile money providers.",True,Knowledge - Fact Verification,True,1,,1.0
"Despite similar levels of overall borrowing by gender in all three economies, borrowing from a mobile money provider differs according to gender in these economies. In Ghana, women are 4 percentage points less likely than men to Figure 3.2.6 In Ghana, Kenya, and Uganda, more than 20 percent of adults borrowed from their mobile money providers in 2024 Adults borrowing any money in the past year (%), 2021–24 Borrowed from family or friends Borrowed from other sources only Borrowed formally from a bank or similar financial institution or through the use of a credit card or a mobile money account Borrowed formally from a bank or similar financial institution or using a credit card only Borrowed formally using a mobile money account only Borrowed semiformally 30 20 10 0 70 80 90 100 60 50 40 Ghana Kenya Uganda 2021 2024 2021 2024 2021 2024 Source: Global Findex Database 2025. Note: People may borrow from multiple sources, but categories in the figure are constructed to be mutually exclusive.","According to the text, fill in the blank: In Ghana, women are ___age points less likely than men to Figure 3.2.6 In Ghana, Kenya, and Uganda, more than 20 percent of adults borrowed from their mobile money providers in 2024 Adults borrowing any money in the past year (%), 2021–24 Borrowed from family or friends Borrowed from other sources only Borrowed formally from a bank or similar financial institution or through the use of a credit card or a mobile money account Borrowed formally from a bank or similar financial institution or using a credit card only Borrowed formally using a mobile money account only Borrowed semiformally 30 20 10 0 70 80 90 100 60 50 40 Ghana Kenya Uganda 2021 2024 2021 2024 2021 2024 Source: Global Findex Database 2025.?",4 percent,Knowledge - Statistics,4,1,1.0,1.0
"Note: People may borrow from multiple sources, but categories in the figure are constructed to be mutually exclusive. Borrowed formally includes all adults who borrowed any money from a bank or similar financial institution or through the use of a credit card or a mobile money account. Borrowed semiformally includes all adults who borrowed any money semiformally (from a savings club) but none formally.","True or False: Based on the provided text, Borrowed formally includes all adults who borrowed any money from a bank or similar financial institution or through the use of a credit card or a mobile money account.",True,Knowledge - Fact Verification,True,1,,1.0
